prospect2014contributor,closedyesdate,closed2014dollar,closed2014contributor,prospectyesdate,prospectprediction,prospectlikelihood,prospect2014dollar
,2014-02-10,"50,000",,2014-09-01,"10,000",10%,"$100,000"
,2013-08-20,0,,2014-09-01,"75,000",50%,"$150,000"
,2011-01-01,0,,2014-10-01,0,1%,
,2012-01-01,0,,2014-07-01,"250,000",50%,"$500,000"
,2011-01-01,0,,2014-10-01,"200,000",50%,"$400,000"
,2012-01-01,0,,2015-10-02,0,1%,$0
,2013-07-15,0,,2014-09-01,0,1%,
,2013-02-20,0,,2014-09-01,0,10%,
,2013-11-12,"75,000",,2014-09-01,"60,000",20%,"$300,000"
,2013-12-15,"150,000",,2014-06-15,"75,000",50%,"$150,000"
,2013-10-17,"267,088",,2014-09-01,0,20%,
,2013-09-17,0,,2014-09-01,0,20%,
,2012-01-01,0,,2014-10-01,0,1%,
,2013-09-17,"1,100,000",,2015-09-01,0,1%,$0
,2012-01-01,0,,2015-09-01,0,1%,$0
,2014-03-20,"74,740",,2014-09-01,0,1%,
,2011-01-01,0,,2014-09-01,0,1%,$0
,2013-09-11,"1,600,000",,2014-09-01,0,0%,$0
,2013-05-02,0,,2014-09-01,0,1%,
,2012-01-01,0,,2014-09-01,"20,000",10%,"$200,000"
,2013-11-11,"70,000",,2015-01-01,0,10%,$0
,2012-01-01,0,,2015-06-01,0,1%,$0
,2013-06-27,"200,000",,2014-09-01,0,1%,$0
,2012-01-01,0,,2014-09-01,0,1%,$0
,2012-01-01,"261,015",,2014-09-01,0,1%,$0
,2014-03-21,"409,740",,2015-06-01,0,1%,$0
,2013-04-01,0,,2014-09-01,0,1%,$0
500,2012-01-01,0,,2014-09-01,0,20%,$0
,2013-09-01,"9,550",,2014-09-01,"7,500",10%,"$75,000"
,2012-01-01,0,,2015-06-01,"30,000",10%,"$300,000"
,2014-04-15,"50,000",,2014-09-01,"1,000",1%,"$100,000"
,2011-01-01,0,,2014-09-01,"112,500",75%,"$150,000"
,2012-01-01,0,,2015-06-01,"10,000",10%,"$100,000"
,2012-01-01,0,,2015-06-01,"10,000",10%,"$100,000"
,2013-05-01,"100,000",,2014-06-01,"10,000",20%,"$50,000"
,2012-01-01,0,,2015-01-01,0,15%,$0
,2012-01-01,0,,2014-09-01,"5,000",5%,"$100,000"
,2012-01-01,0,,2014-09-01,"5,000",5%,"$100,000"
,2013-07-01,0,,2014-09-01,"1,000",1%,"$100,000"
,2011-01-01,0,,2014-09-01,"1,000",1%,"$100,000"
,2012-01-01,0,,2014-09-01,"1,000",1%,"$100,000"
,2012-01-01,0,,2014-09-01,"146,250",65%,"$225,000"
,2012-01-01,0,,2015-09-01,0,45%,$0
,2012-01-01,"76,200",,2015-06-01,"37,500",15%,"$250,000"
,2012-01-01,0,,2014-09-01,"1,000",1%,"$100,000"
,2012-01-01,0,,2015-01-01,0,20%,$0
,2013-06-01,0,,2014-09-01,"200,000",20%,"$1,000,000"
,2013-07-30,"390,250",,2014-09-01,0,1%,$0
,2013-05-01,"345,025",,2014-09-01,0,10%,$0
,2011-01-01,0,,2014-07-01,"350,000",100%,"$350,000"
,2013-06-27,"940,350",,2014-05-01,"100,000",40%,"$250,000"
,,,,2014-06-01,"75,000",30%,"$250,000"
,,,,2015-06-01,0,1%,$0
,,,,2014-07-01,"20,000",20%,"$100,000"
,,,,2014-03-20,"74,740",100%,"$74,740"
,,,,2014-06-30,"62,500",50%,"$125,000"
,,,,2014-09-01,"25,000",10%,"$250,000"
,,,,2014-09-01,"50,000",20%,"$250,000"
,,,,2014-09-01,"30,000",10%,"$300,000"
,,,,2014-10-01,"20,000",20%,"$100,000"
,,,,2014-09-01,"10,000",10%,"$100,000"
,,,,2015-01-01,0,10%,$0
,,,,2014-09-01,"10,000",10%,"$100,000"
,,,,2014-07-01,"50,000",10%,"$500,000"
,,,,2014-09-01,"10,000",10%,"$100,000"
,,,,2014-06-30,"7,050",10%,"$70,497"
,,,,2015-09-01,0,10%,$0
,,,,2014-09-01,"10,000",10%,"$100,000"
,,,,2014-10-01,"10,000",10%,"$100,000"
,,,,2014-01-01,"1,000",1%,"$100,000"
,,,,2014-09-01,"10,000",10%,"$100,000"
,,,,2014-11-01,"30,000",10%,"$300,000"
,,,,2014-05-01,"24,677",10%,"$246,768"
,,,,2014-09-01,"150,000",50%,"$300,000"
,,,,2014-09-01,"10,000",10%,"$100,000"
,,,,2014-09-01,"10,000",10%,"$100,000"
,,,,2014-09-01,"10,000",10%,"$100,000"
,,,,2014-09-01,"10,000",10%,"$100,000"
,,,,2014-09-01,"10,000",10%,"$100,000"
,,,,2014-09-01,0,10%,$0
,,,,2014-09-01,"10,000",10%,"$100,000"
,,,,2015-06-01,0,1%,$0
,,,,2014-09-01,"10,000",10%,"$100,000"
,,,,2014-09-01,"375,000",30%,"$1,250,000"
,,,,2015-06-30,0,10%,$0
,,,,2014-05-31,"15,000",15%,"$100,000"
,,,,2014-05-01,"10,000",10%,"$100,000"
,,,,2014-05-31,"25,000",10%,"$250,000"
,,,,2014-06-30,"10,000",10%,"$100,000"
,,,,2015-09-01,0,1%,$0
,,,,2015-06-30,0,10%,$0
,,,,2014-09-01,"5,000",10%,"$50,000"
25,,,,2014-04-24,0,100%,
200,,,,2014-04-24,0,100%,
50,,,,2014-04-24,0,100%,
50,,,,2014-04-24,0,100%,
10,,,,2014-04-24,0,100%,
30,,,,2014-04-24,0,100%,
20,,,,2014-04-24,0,100%,
15,,,,2014-04-24,0,100%,
100,,,,2014-04-24,0,100%,
10,,,,2014-04-24,0,100%,
15,,,,2014-04-24,0,100%,
30,,,,2014-04-24,0,100%,
30,,,,2014-04-24,0,100%,
20,,,,2014-04-24,0,100%,
100,,,,2014-04-24,0,100%,
5,,,,2014-04-24,0,100%,
30,,,,2014-04-24,0,100%,
100,,,,2014-04-24,0,100%,
100,,,,2014-04-24,0,100%,
30,,,,,0,50%,
200,,,,4/31/2014,0,90%,
20,,,,2014-05-12,0,75%,
30,,,,2014-05-12,0,75%,
30,,,,2014-05-12,0,50%,
50,,,,2014-05-12,0,75%,
10,,,,2014-05-12,0,50%,
10,,,,2014-05-12,0,50%,
30,,,,2014-05-12,0,75%,
5,,,,2014-05-12,0,75%,
50,,,,2014-05-12,0,75%,
200,,,,2014-05-12,0,50%,
10,,,,2014-05-12,0,75%,
10,,,,2014-05-12,0,75%,
5,,,,2014-05-12,0,75%,
100,,,,2014-05-12,0,50%,
500,,,,2014-05-12,0,50%,
10,,,,2014-05-12,0,75%,
20,,,,2014-05-12,0,75%,
20,,,,2014-05-12,0,50%,
100,,,,2014-05-12,0,50%,
50,,,,2014-05-12,0,50%,
50,,,,2014-05-12,0,50%,
30,,,,2014-05-12,0,50%,
20,,,,2014-05-12,0,50%,
20,,,,2014-05-12,0,75%,
500,,,,2014-05-12,0,50%,
200,,,,2014-05-12,0,50%,
50,,,,2014-05-12,0,75%,
20,,,,2014-05-12,0,50%,
